,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
60,einfamilienhaus,Angebot,160,5,67368,gewerblich,1964.0,-27428.602212563794,651.0,ja,300000.0,1,1,ofenheizung,1,1,1,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-171.4287638285237
61,bauernhaus,Angebot,160,7,55765,privat,1906.0,,1500.0,nein,,1,1,oelheizung,1,1,1,0,0,0,0,0,1,1,0,1,,,0,,,0,0,
62,doppelhaushaelfte,Angebot,140,6,67269,gewerblich,1900.0,43396.9463044446,200.0,ja,280000.0,1,0,zentralheizung,1,1,1,0,1,0,0,1,0,0,0,0,,,0,,,0,0,309.97818788889003
63,einfamilienhaus,Angebot,160,9,50259,gewerblich,1992.0,19642.01768456803,643.0,ja,540000.0,1,1,zentralheizung,1,1,1,0,1,1,0,0,1,0,0,0,,,0,,,0,0,122.76261052855018
64,einfamilienhaus,Angebot,160,6,50667,privat,,62441.4418944229,,,1640.0,0,1,gasheizung,1,1,1,0,1,1,0,1,1,0,0,0,350.0,4900.0,1,1990.0,,0,0,390.2590118401431
65,mehrfamilienhaus,Angebot,160,9,58119,gewerblich,1920.0,134157.27471999358,800.0,ja,289000.0,1,1,zentralheizung,1,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,838.4829669999599
66,mehrfamilienhaus,Angebot,160,8,57339,gewerblich,1962.0,67569.87400868052,1193.0,ja,175000.0,0,0,zentralheizung,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,422.31171255425323
67,einfamilienhaus,Angebot,160,7,34537,privat,2014.0,-56135.28882499314,785.0,nein,355000.0,1,1,zentralheizung,1,1,0,0,1,1,1,0,1,1,1,1,,,0,,,0,0,-350.8455551562071
68,einfamilienhaus,Angebot,160,9,54518,gewerblich,1976.0,-61988.78590064224,716.0,ja,308000.0,0,1,elektroheizung,1,1,1,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-387.42991187901396
69,einfamilienhaus,Angebot,160,7,56579,gewerblich,1982.0,-21182.06060507442,1011.0,ja,395000.0,1,0,zentralheizung,0,1,1,0,1,1,0,0,1,0,0,0,,,0,,,0,0,-132.38787878171513
70,einfamilienhaus,Angebot,100,3,56729,privat,1961.0,113588.61423789043,1350.0,nein,169000.0,1,1,oelheizung,1,1,1,0,1,1,0,1,0,0,0,1,,,0,,,0,0,1135.8861423789044
71,mehrfamilienhaus,Angebot,160,7,58509,gewerblich,1984.0,-32994.90100125654,763.0,ja,369000.0,1,1,zentralheizung,1,1,1,0,1,0,0,0,1,0,1,0,,,0,,,0,0,-206.21813125785337
72,bungalow,Angebot,160,6,67680,gewerblich,1975.0,15429.245330074937,1200.0,ja,249000.0,1,1,zentralheizung,0,1,1,0,1,0,0,1,0,0,0,0,,,0,,,0,0,96.43278331296835
73,bungalow,Angebot,160,6.0,57583,gewerblich,2007.0,47962.16190939471,1275.0,ja,350000.0,1,1,zentralheizung,1,1,0,0,1,1,0,1,0,0,0,0,,,0,,,0,0,299.7635119337169
74,einfamilienhaus,Angebot,160,5,59071,privat,1939.0,160659.23413502224,1180.0,nein,259000.0,1,1,gasheizung,1,1,1,0,1,1,0,0,0,0,0,1,,,0,,,0,0,1004.120213343889
75,einfamilienhaus,Angebot,160,7,48249,gewerblich,1988.0,-14067.43172076736,800.0,ja,279000.0,0,1,zentralheizung,1,1,1,0,0,0,0,1,1,0,0,0,,,0,,,0,0,-87.92144825479599
76,bauernhaus,Angebot,140,5,55278,gewerblich,1850.0,99761.38508798751,1931.0,ja,305000.0,1,1,zentralheizung,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,712.5813220570536
77,einfamilienhaus,Angebot,160,7,67806,gewerblich,1906.0,49825.13496208099,950.0,ja,280000.0,1,1,zentralheizung,1,1,1,0,1,0,0,1,0,0,0,0,,,0,,,0,0,311.4070935130062
78,einfamilienhaus,Angebot,100,5,54552,privat,,,,nein,,1,1,ofenheizung,1,1,1,1,1,1,0,1,0,0,0,1,,,0,,,0,0,
79,einfamilienhaus,Angebot,160,5,67304,gewerblich,2006.0,-18631.740946155947,637.0,ja,345000.0,1,1,zentralheizung,1,1,0,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-116.44838091347467
80,einfamilienhaus,Angebot,140,3,53604,gewerblich,1977.0,123497.44040089945,599.0,ja,229000.0,1,1,oelheizung,1,1,1,0,0,1,0,0,0,0,0,0,,,0,,,0,0,882.1245742921388
81,einfamilienhaus,Angebot,140,5,47906,gewerblich,1200.0,293386.32319649524,,,1400.0,1,1,gasheizung,1,1,0,0,1,1,0,0,0,0,0,1,300.0,5200.0,1,1650.0,,0,0,2095.6165942606804
82,mehrfamilienhaus,Angebot,160,8,59929,gewerblich,1981.0,19642.01768456803,1385.0,ja,279000.0,1,1,zentralheizung,1,1,1,0,1,1,0,0,1,0,0,0,,,0,,,0,0,122.76261052855018
